Animal ID,Name_Intake,Intake Type,Intake Condition,Animal Type_Intake,Breed_Intake,Color_Intake,Date of Birth,Age upon Intake,DateTime_Intake,DateTime_Outcome,Age upon Outcome,Sex_Intake,Sex_State_Intake,Sex_Outcome,Sex_State_Outcome,found_Address_Line1,found_Address_City,found_Address_State,recidence_Time_Ratio,binary_outcome
A815848,Unknown,Wildlife,Normal,Other,Bat,Brown,2019-03-27 00:00:00,52,2020-03-27 18:54:00,2020-03-27 19:00:00,52,Unknown,Unknown,Unknown,Unknown,2815 Manor Rd,Austin,TX,367,0
A815835,Unknown,Wildlife,Normal,Other,Bat,Brown,2018-03-27 00:00:00,104,2020-03-27 14:10:00,2020-03-27 15:12:00,104,Unknown,Unknown,Unknown,Unknown,12176 N Mopac Expy,Austin,TX,732,0
A815834,Unknown,Wildlife,Normal,Other,Bat,Brown,2018-03-27 00:00:00,104,2020-03-27 13:48:00,2020-03-27 15:12:00,104,Unknown,Unknown,Unknown,Unknown,715 E 8Th St,Austin,TX,732,0
A815821,Unknown,Wildlife,Normal,Other,Bat,Brown,2018-03-26 00:00:00,104,2020-03-26 23:45:00,2020-03-27 09:08:00,104,Unknown,Unknown,Unknown,Unknown,3621 Bratton Heights Dr,Austin,TX,732,0
A815816,Unknown,Wildlife,Normal,Other,Bat,Brown,2018-03-26 00:00:00,104,2020-03-26 23:21:00,2020-03-27 09:05:00,104,Unknown,Unknown,Unknown,Unknown,7801 Capital Of Texas,Austin,TX,732,0
A815814,Unknown,Wildlife,Normal,Other,Bat,Brown,2018-03-26 00:00:00,104,2020-03-26 23:05:00,2020-03-27 08:16:00,104,Unknown,Unknown,Unknown,Unknown,700 Lavaca St,Austin,TX,732,0
A815813,Unknown,Abandoned,Normal,Dog,Labrador Retriever Mix,Black,2017-03-26 00:00:00,156,2020-03-26 16:54:00,2020-03-26 17:04:00,156,Intact,Male,Intact,Male,727 Airport Boulevard,Austin,TX,1097,1
A815799,Oliver,Stray,Injured,Cat,Domestic Medium Hair,Orange,2018-03-26 00:00:00,104,2020-03-26 14:01:00,2020-03-27 13:16:00,104,Intact,Male,Intact,Male,9804 Woodshire,Austin,TX,732,1
A815792,Unknown,Wildlife,Normal,Other,Bat,Brown,2019-03-26 00:00:00,52,2020-03-26 12:45:00,2020-03-26 14:16:00,52,Unknown,Unknown,Unknown,Unknown,Unknown address,Austin,TX,367,0
A815791,Unknown,Wildlife,Normal,Other,Bat,Brown,2018-03-26 00:00:00,104,2020-03-26 12:03:00,2020-03-26 14:14:00,104,Unknown,Unknown,Unknown,Unknown,1106 Clayton Lane,Austin,TX,732,0
A815789,Cookie,Stray,Normal,Dog,American Pit Bull Terrier,White,2019-03-26 00:00:00,52,2020-03-26 10:43:00,2020-03-26 13:05:00,52,Spayed,Female,Spayed,Female,Tara Drive And Salt Springs Drive,Austin,TX,367,1
A815787,Unknown,Wildlife,Normal,Other,Bat,Gray,2019-09-26 00:00:00,26,2020-03-26 10:04:00,2020-03-27 08:58:00,26,Unknown,Unknown,Unknown,Unknown,Unknown address,Austin,TX,183,0
A815779,Unknown,Wildlife,Normal,Other,Bat,Brown,2018-03-26 00:00:00,104,2020-03-26 01:30:00,2020-03-26 08:17:00,104,Unknown,Unknown,Unknown,Unknown,2207 Willow St,Austin,TX,732,0
A815776,Unknown,Wildlife,Normal,Other,Bat,Brown,2018-03-25 00:00:00,104,2020-03-25 22:47:00,2020-03-26 09:02:00,104,Unknown,Unknown,Unknown,Unknown,8601 Research Blvd,Austin,TX,732,0
A815773,Unknown,Wildlife,Normal,Other,Bat,Brown,2019-03-25 00:00:00,52,2020-03-25 17:18:00,2020-03-25 17:40:00,52,Unknown,Unknown,Unknown,Unknown,914 Porpoise,Lakeway,TX,367,0
A815771,Unknown,Wildlife,Normal,Other,Bat,Brown,2018-03-25 00:00:00,104,2020-03-25 23:19:00,2020-03-26 08:16:00,104,Unknown,Unknown,Unknown,Unknown,1905 Kramer Swt 300,Austin,TX,732,0
A815768,Unknown,Wildlife,Normal,Other,Bat,Black,2018-03-25 00:00:00,104,2020-03-25 15:08:00,2020-03-25 15:20:00,104,Unknown,Unknown,Unknown,Unknown,2915 Aftonshire Way,Austin,TX,732,0
A815767,Unknown,Wildlife,Sick,Other,Bat,Brown,2018-03-25 00:00:00,104,2020-03-25 14:46:00,2020-03-25 15:03:00,104,Unknown,Unknown,Unknown,Unknown,505 W 22Nd St,Austin,TX,732,0
A815765,Unknown,Stray,Injured,Cat,Domestic Shorthair,Brown Tabby,2018-03-25 00:00:00,104,2020-03-25 13:30:00,2020-03-27 09:52:00,104,Intact,Male,Intact,Male,14810 Iowa St,Austin,TX,366,0
A815763,Unknown,Stray,Sick,Dog,Chihuahua Shorthair,Tan,2018-03-25 00:00:00,104,2020-03-25 13:10:00,2020-03-26 17:44:00,104,Intact,Female,Intact,Female,12716 Stoney Ridge,Travis,TX,366,1
A815762,Unknown,Wildlife,Sick,Other,Fox,Brown,2019-03-25 00:00:00,52,2020-03-25 11:24:00,2020-03-25 11:51:00,52,Unknown,Unknown,Unknown,Unknown,5806 Guadalupe,Austin,TX,367,0
A815754,Unknown,Wildlife,Normal,Other,Bat,Brown,2019-03-24 00:00:00,52,2020-03-24 21:02:00,2020-03-25 07:52:00,52,Unknown,Unknown,Unknown,Unknown,210 Lavaca St,Austin,TX,367,0
A815753,Unknown,Wildlife,Normal,Other,Bat,Brown,2019-03-24 00:00:00,52,2020-03-24 21:00:00,2020-03-25 07:50:00,52,Unknown,Unknown,Unknown,Unknown,421 W 3Rd St,Austin,TX,367,0
A815750,Unknown,Wildlife,Sick,Other,Raccoon,Brown,2019-03-24 00:00:00,52,2020-03-24 17:55:00,2020-03-24 18:54:00,52,Unknown,Unknown,Unknown,Unknown,5414 Shoalwood,Austin,TX,367,0
