Animal ID,Name_Intake,Intake Type,Intake Condition,Animal Type_Intake,Breed_Intake,Color_Intake,Date of Birth,Age upon Intake,DateTime_Intake,DateTime_Outcome,Age upon Outcome,Sex_Intake,Sex_State_Intake,Sex_Outcome,Sex_State_Outcome,found_Address_Line1,found_Address_City,found_Address_State,binary_outcome,recidence_Time_Ratio
A783721,Unknown,Stray,Normal,Cat,Domestic Shorthair Mix,Orange Tabby,9/5/2018 0:00,8,11/5/2018 11:00,11/12/2018 18:24,9,Male,Intact,Male,Neutered,3108 Crownover Street,Austin,TX,1,1222
A783635,Unknown,Stray,Normal,Cat,Domestic Shorthair Mix,Black Tabby,8/3/2018 0:00,13,11/3/2018 12:32,11/12/2018 15:49,14,Male,Intact,Male,Neutered,Spicewood Springs Road And Highway 183,Austin,TX,1,1175
A788556,Slink,Stray,Normal,Cat,Domestic Medium Hair Mix,Calico,9/4/2018 0:00,62,11/17/2019 12:22,11/17/2019 15:47,62,Female,Spayed,Female,Spayed,3902 Sojourner Street,Austin,TX,1,99
A764549,Unknown,Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,1/1/2006 0:00,626,1/1/2018 12:59,1/1/2018 13:30,626,Female,Intact,Female,Intact,2202 Canterbury,Austin,TX,0,99
A651615,Marlie,Owner Surrender,Normal,Dog,Toy Poodle Mix,Cream,4/13/2010 0:00,259,4/3/2015 11:41,4/12/2015 15:24,260,Male,Neutered,Male,Neutered,Unknown address,Austin,TX,1,1103
A694386,Chris,Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,7/27/2010 0:00,230,12/27/2014 11:49,12/31/2014 16:49,231,Male,Neutered,Male,Neutered,Unknown address,Austin,TX,1,1104
A739876,Unknown,Stray,Normal,Dog,Chihuahua Longhair,Tan,12/8/2014 0:00,104,12/8/2016 12:44,12/12/2016 17:55,105,Female,Intact,Female,Spayed,Cooper Ln & Buckingham Pl,Austin,TX,1,1109
A731038,Unknown,Owner Surrender,Normal,Dog,Toy Poodle Mix,Cream,6/23/2016 0:00,3,7/15/2016 9:56,8/24/2016 11:42,8,Female,Intact,Female,Spayed,Unknown address,Austin,TX,1,13161
A357122,Madison,Stray,Normal,Dog,Border Collie,Black,12/6/2003 0:00,786,1/2/2019 8:14,1/3/2019 13:17,786,Female,Spayed,Female,Spayed,8702 Black Oak St.,Austin,TX,1,99
A777598,Ink,Stray,Normal,Cat,Domestic Shorthair Mix,Black,5/1/2018 0:00,13,7/31/2018 11:40,8/6/2018 17:31,13,Female,Intact,Female,Spayed,10604 Lanshire Drive,Austin,TX,1,99
A720690,Joey,Stray,Normal,Dog,Dachshund Mix,Tricolor,9/13/2015 0:00,21,2/13/2016 18:21,2/18/2016 12:03,22,Male,Intact,Male,Neutered,1300 Duepree St,Austin,TX,1,1146
A678789,Charlie,Stray,Normal,Dog,Miniature Poodle,Red,5/12/2012 0:00,104,5/12/2014 17:22,5/13/2014 13:22,104,Male,Neutered,Male,Neutered,Montopolis & Vargas,Austin,TX,1,99
